title,price,availability,star,cate,product_url,country
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,In stock,1,Psychology,https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html,Kiribati
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,In stock,1,Psychology,https://books.toscrape.com/catalogue/the-golden-condom-and-other-essays-on-love-lost-and-found_637/index.html,Christmas Island
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,In stock,3,Psychology,https://books.toscrape.com/catalogue/it-didnt-start-with-you-how-inherited-family-trauma-shapes-who-we-are-and-how-to-end-the-cycle_593/index.html,Portugal
An Unquiet Mind: A Memoir of Moods and Madness,£21.30,In stock,3,Psychology,https://books.toscrape.com/catalogue/an-unquiet-mind-a-memoir-of-moods-and-madness_422/index.html,Saint Lucia
"Thinking, Fast and Slow",£21.14,In stock,1,Psychology,https://books.toscrape.com/catalogue/thinking-fast-and-slow_289/index.html,Montenegro
Civilization and Its Discontents,£59.95,In stock,2,Psychology,https://books.toscrape.com/catalogue/civilization-and-its-discontents_140/index.html,Bangladesh
8 Keys to Mental Health Through Exercise,£31.04,In stock,1,Psychology,https://books.toscrape.com/catalogue/8-keys-to-mental-health-through-exercise_114/index.html,Mali
The Torch Is Passed: A Harding Family Story,£19.09,In stock,1,Add a comment,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,Libya
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,In stock,4,Add a comment,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Saint Vincent and the Grenadines
The Art Forger,£40.76,In stock,3,Add a comment,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,Gibraltar
On a Midnight Clear,£14.07,In stock,3,Add a comment,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,Ecuador
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,In stock,2,Add a comment,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Guyana
"Shobu Samurai, Project Aryoku (#3)",£29.06,In stock,3,Add a comment,https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html,Uganda
Modern Romance,£28.26,In stock,5,Add a comment,https://books.toscrape.com/catalogue/modern-romance_820/index.html,Niue
The White Queen (The Cousins' War #1),£25.91,In stock,5,Add a comment,https://books.toscrape.com/catalogue/the-white-queen-the-cousins-war-1_768/index.html,China
The Song of Achilles,£37.40,In stock,5,Add a comment,https://books.toscrape.com/catalogue/the-song-of-achilles_762/index.html,Jordan
The Immortal Life of Henrietta Lacks,£40.67,In stock,2,Add a comment,https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html,Kiribati
The Dovekeepers,£48.78,In stock,1,Add a comment,https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html,New Zealand
More Than Music (Chasing the Dream #1),£37.61,In stock,2,Add a comment,https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html,Czechia
Code Name Verity (Code Name Verity #1),£22.13,In stock,4,Add a comment,https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html,Greenland
